alpha0,theta0,theta1
-1.341155462258701,-0.0869989218009507,0.0842800045084851
-1.5122328193426726,-0.0958725859378069,0.0847461405944126
-1.4661410589976642,-0.0621267314556771,0.1226376953730997
-1.3517901452678576,-0.0877792452758337,0.1286029611305143
-1.402877532686334,-0.095372132228996,0.1291728013875098
-1.460929420542572,-0.1144908528891467,0.1197486445965128
-1.253621946606147,-0.1144908528891467,0.1197486445965128
-1.5436337133600058,-0.1100499721989939,0.120078686630614
-1.2784758129973184,-0.1110916528885476,0.1300671297552431
-1.360038173165395,-0.1180006984768285,0.1275433483804958
-1.3523670538823032,-0.1180006984768285,0.1275433483804958
-1.6322199467796832,-0.1166329643553998,0.1090388176962953
-1.398084639588565,-0.1166329643553998,0.1090388176962953
-1.4047981746357978,-0.1339348267485073,0.1136956340699221
-1.5759592797154542,-0.1578226367459486,0.1044818548053831
-1.402544644390818,-0.1438940183319972,0.0976987042371336
-1.4084179485225798,-0.1438940183319972,0.0976987042371336
-1.4696546229465652,-0.1400296095967331,0.0912255221223188
-1.4448547235112976,-0.1400296095967331,0.0912255221223188
-1.236558209005628,-0.1079636489359177,0.0890861214475576
-1.3291161202691957,-0.102671710895602,0.101574315697536
-1.52342678404699,-0.102671710895602,0.101574315697536
-1.365704191522794,-0.1069306068823663,0.1052911979628161
-1.6001317417829677,-0.1069306068823663,0.1052911979628161
-1.4272461474632407,-0.1069306068823663,0.1052911979628161
-1.7528453857221415,-0.1147037932365709,0.1010432653838413
-1.4945050158009494,-0.0881732271036829,0.083635239055057
-1.3130253259957825,-0.0897533684819719,0.0873534965606335
-1.6122555497422535,-0.0867054340153096,0.0746171788344848
-1.4812101922361371,-0.0867054340153096,0.0746171788344848
-1.5977760649007196,-0.0867054340153096,0.0746171788344848
-1.7992931161751016,-0.0718578682541169,0.0847883295722511
-1.618790776676139,-0.0743872388568077,0.1027556029941681
-1.4627167131916503,-0.0743872388568077,0.1027556029941681
-1.5041002419322027,-0.0774981710961574,0.1043171040386442
-1.653997982502078,-0.0774981710961574,0.1043171040386442
-1.7669618315515778,-0.0822332391057844,0.1198687747896043
-1.512324307947094,-0.0822332391057844,0.1198687747896043
-1.4757055113816857,-0.0784410093464261,0.1276560348348155
-1.5741414564704408,-0.103253472889123,0.1201700596796746
-1.5308485130950775,-0.117907698792162,0.120023698331579
-1.4309846441377243,-0.1037756560420506,0.1338370424869704
-1.253732595774287,-0.1037756560420506,0.1338370424869704
-1.3717713543975067,-0.1037756560420506,0.1338370424869704
-1.4816277009103929,-0.0709531803788585,0.1223077096971771
-1.288102963600478,-0.0759992297849956,0.1316375656573891
-1.542457844035966,-0.0759992297849956,0.1316375656573891
-1.3888222059652666,-0.0759992297849956,0.1316375656573891
-1.289271873917307,-0.0716890967815707,0.1136273045016578
-1.330002957288073,-0.0716890967815707,0.1136273045016578
