geohash,target_area,population,households,households_owneroccupied,households_renteroccupied,income_median,age_median,income_poverty,education_bachelors,education_nohighschool,race_hispanic,race_white_nh,race_black_nh,race_asian_nh,race_other_nh,area_m2,population_density,area_m2_land,population_density_land,income_poverty_pct,education_nohighschool_pct,education_bachelors_pct,race_hispanic_pct,race_white_nh_pct,race_black_nh_pct,race_asian_nh_pct,race_other_nh_pct,households_owneroccupied_pct,households_renteroccupied_pct
dr5q9x,6109442.246289796,1985.7003706666833,668.5319591650297,244.3717587488401,424.1602004161896,53048.78066384294,41.685212556584105,787.6606793871532,728.5788604952606,326.28462771932914,1008.4585303407675,4098.916963208725,466.14216409083593,832.0045492697748,49.58144367142261,567581.0336575434,0.003498531932736813,567569.0609334505,0.0034986057333726193,0.3966664311608616,0.16431715103612618,0.3669127886855588,0.5078603727118133,2.0642172523906748,0.23474949744524265,0.4189980329159307,0.02496924732646146,0.36553489388009347,0.6344651061199066
dr5rxr,6093513.614126258,15169.732677031432,5704.372092082283,1981.6403342052959,3722.731757876987,58054.961193103336,40.77850853424505,1043.1322927663323,1661.0525367063397,595.4131963938488,2000.9395207147124,1535.4632096680114,894.9322653039677,1323.3294449882098,91.29603426781262,566101.2276222834,0.026796855291670644,566101.2276222834,0.026796855291670644,0.06876405240454528,0.039250078367917905,0.10949781199647292,0.13190341341639758,0.10121887065240535,0.05899459696208023,0.08723485595707758,0.006018302115899801,0.3473897393467424,0.6526102606532576
dr5x9c,6096474.761587146,5418.988294867768,1571.6780900337305,1199.70098729134,371.9771027423907,89675.1183892476,41.121224777452525,171.2555670470351,423.73160171826316,136.44750024144736,207.57367246785626,18.902601456923154,1539.922866187091,85.5133579898505,38.68267966408151,566376.3249337743,0.00956782276431029,566376.3249337743,0.00956782276431029,0.03160286712728801,0.02517951558793262,0.07819385808963127,0.03830487559171253,0.0034882159599468943,0.28417165389442267,0.015780317900084554,0.007138358224674009,0.7633248786114927,0.23667512138850744
dr72ne,6087527.4225104945,351.58454507678823,1.0,0.0,0.0,1.0,33.05984623556452,0.0,91.44076528104799,2216.4360461141023,1105.4020029774147,227.0861434951603,1896.4186312818463,52.50384411088689,10.700768822177379,565545.0968515881,0.0006216737569365791,41834.34043929577,0.00840420911109999,0.0,6.30413389083988,0.2600818681067928,3.1440574349933046,0.6458934178849166,5.393919209013174,0.14933490349929837,0.030435833918240816,0.0,0.0
dr5nx0,6112925.902977604,1295.6685547408215,447.49192448569704,356.7777132348687,90.71421125082833,124670.60210486344,40.22360384928578,405.1018543857203,1925.5281790785723,471.0219799214246,759.6173790857094,5470.337124685715,85.34824267857086,450.7637054428545,19.584281171428668,567904.673260647,0.0022814895100293675,567904.673260647,0.0022814895100293675,0.312658552145502,0.3635358581467197,1.4861271210396432,0.586274457542623,4.222018898791576,0.06587197193779504,0.34790047485023884,0.015115193696543945,0.7972830205705136,0.2027169794294864
dr5r1v,6102462.149089176,2584.191000740312,805.267418720931,479.334655989976,325.932762730955,104171.47605487735,40.358379106354946,470.7723568545445,958.8558719091073,227.58341037638553,926.3678758218848,1526.881216547684,494.0850081059841,225.474498461136,28.4091356554169,566932.5668050145,0.004558198191548052,566932.5668050145,0.004558198191548052,0.1821739789046858,0.08806756555966182,0.37104682727956906,0.3584750026435745,0.5908546295959808,0.1911952359420956,0.08725148349968817,0.010993434946286218,0.5952490375822489,0.4047509624177511
dr72tf,6080075.050488553,2697.400868496298,1140.4390007028837,716.0592815124262,424.3797191904574,94272.4702513615,59.4977958946049,118.00827204231322,1120.3662047639816,161.9811588955677,548.442722831028,1306.6048896931015,211.59837580479464,136.31099263445253,26.62457443522357,564852.7545975988,0.004775405353945608,338750.0863312527,0.007962804962530982,0.043748881903526084,0.060050829221340855,0.4153502795409659,0.2033226611722583,0.48439403462544517,0.07844528348608154,0.050534199134606536,0.009870455202331789,0.6278803873517999,0.37211961264820004
dr7826,6084050.346689224,1172.7292639485904,420.46171947307243,256.8459603728023,163.61575910027008,94949.39793033966,46.16367367940753,302.4821387663429,1094.2628410319305,332.4807002605303,968.1854235958971,2342.3037180198203,103.43370738870922,126.17850119399836,28.86846186323733,565222.0686259035,0.0020748115281478334,80782.05144839408,0.014517200825207613,0.2579300679748391,0.28351019325727805,0.9330907607332466,0.8255830679418775,1.9973098566102645,0.08819913561331877,0.10759388809754279,0.024616476070561204,0.6108664557969384,0.3891335442030615
dr5r5u,6102969.209357454,11819.088971098057,3231.8006368596853,1096.3601795581715,2135.4404573015145,47220.899756895626,36.14761426911317,787.5957228349495,559.495688906008,865.0292685366635,480.2872011731571,847.7142440249767,41.478937359749416,2520.045690063362,22.011573995963285,566979.6738533495,0.02084570138250686,566979.6738533495,0.02084570138250686,0.06663759996738375,0.07318916632677633,0.047338309261752504,0.04063656702708921,0.07172416132055053,0.00350948685310521,0.2132182688721427,0.0018623748454546316,0.3392412783925607,0.6607587216074395
dr72qb,6085042.465512602,19738.254527670826,5987.642224990289,625.3716864193965,5362.270538570894,33150.875175236135,31.68610648314763,1834.2937435886433,357.85698237441545,1200.4348701400063,4152.181903539199,83.60826717097078,1063.9695277041692,183.57590732754053,127.39052205546153,565314.2387135454,0.034915544622736,565314.2387135454,0.034915544622736,0.09293089928580912,0.06081768114080862,0.01813012299911018,0.2103621623542398,0.004235849074383013,0.053903931890867195,0.009300513734392656,0.0064539912522089665,0.10444372975548163,0.8955562702445187
