geohash,area_m2,population,households,income_poverty,education_bachelors,education_nohighschool,race_hispanic,race_white_nh,race_black_nh,race_asian_nh,race_other_nh,households_owneroccupied,households_renteroccupied,income_median,age_median,income_poverty_pct,education_bachelors_pct,education_nohighschool_pct,race_hispanic_pct,race_white_nh_pct,race_black_nh_pct,race_asian_nh_pct,race_other_nh_pct,households_owneroccupied_pct,households_renteroccupied_pct
dr5rx0,6096997.642356983,2846.655589346551,767.3295414582415,211.59204792033734,443.546586391568,353.03541844730535,1646.5588167402916,397.0462010910953,105.21967236875777,568.4516803282297,71.63057621395518,315.8920773010708,451.43746415717067,77599.84342550683,38.22058807536853,0.07433004846536712,0.15581322449105406,0.12401760851172886,0.5784186969798685,0.13947813096077322,0.03696255801458262,0.19969106289346286,0.025163063800913814,0.4116772002557676,0.5883227997442324
dr5qc1,6108442.07870376,2636.256717839469,973.5464348479991,187.94973138211392,704.0931091526534,170.05727798677546,232.42453969370067,2111.4714730433016,11.907275564897189,215.25446513987612,13.308093651547575,869.8019112666979,103.74452358130125,121069.25374474522,45.643495201185615,0.07129416877736672,0.26708063155916373,0.0645071008585784,0.0881646078399311,0.8009354547131311,0.00451673597807111,0.08165155680145098,0.005048102319281772,0.8934364917093051,0.10656350829069494
dr780s,6087032.38885574,783.2422121485165,235.81268449267233,59.23162226530632,144.87042384768927,51.48965036047146,219.82909485416474,490.40344551787496,21.370622421336616,29.706496716712895,6.171176522369395,144.67617542263355,91.13650907003881,82324.28050148167,34.74166230485556,0.07562363384734806,0.18496248235944066,0.0657391156424395,0.2806655354429254,0.6261197850568425,0.027284819548623065,0.03792759922275489,0.00787901421380393,0.6135215997133064,0.38647840028669367
dr5rzp,6089517.112651019,21.055149919225414,6.039779192592679,0.7277506649221667,3.0102413867235076,2.483724807177546,9.595833578007811,4.278291787724252,0.24809681758710228,6.494623358169033,0.14334482793921466,2.7952241448146857,3.244555047777993,63646.0,36.4,0.03456402199528672,0.1429693637077769,0.11796281749148992,0.4557475778999738,0.20319455354804922,0.01178318931657502,0.30845771144278605,0.006808064938465567,0.46280237334550434,0.5371976266544957
dr5wcz,6105451.820573147,5779.196532270033,1865.9783564575869,979.6932767278679,1117.894947662932,993.0244395106865,1510.6815608699712,2492.8599984013017,1444.7110977886236,67.35125542838507,109.15143995439504,480.7847575954638,1385.193598862123,35624.93977934853,31.31560568210683,0.16952067147352237,0.1934343193592397,0.1718274216780499,0.2613999285946735,0.43135061846081946,0.24998476686536045,0.011654086351330558,0.018886957615113505,0.2576582712932404,0.7423417287067595
dr5qf6,6107948.659414303,1225.1122485629035,382.1305867937229,114.32032608149889,304.7166738561775,174.7813268076434,148.6998630551703,786.694455826975,19.604620884120518,238.71858168098862,14.154696437649028,291.0744453479083,91.05614144581452,98654.91701196227,41.98468621041846,0.0933141646535657,0.24872551410176505,0.142665561472157,0.12137652140005954,0.642140715473046,0.01600230583533662,0.1948544567740738,0.01155379554343118,0.7617145955003926,0.2382854044996072
dr5r7e,6099481.161979898,29.96661257679777,11.968560859692023,3.586620308412926,13.135105687141081,2.234595284881528,5.703851902749137,18.218816962052912,1.6493599974028956,2.9063256799873836,0.3465821588797929,2.679671813777911,9.288889045914111,121824.32054144738,35.68872764106169,0.11968721186691406,0.43832467395100877,0.0745694989433576,0.19034022908433285,0.6079705177007289,0.055039921284928434,0.09698545915188501,0.011565610160026591,0.22389256696705848,0.7761074330329415
dr5rq2,6100983.519270379,2895.0465539659444,1032.009306130138,1041.3783088152165,204.03946775438155,501.08949472704296,631.6431307702746,40.20318475584216,2027.978293923135,20.288978081393093,38.12601012401016,105.56046561310701,926.4488405170309,37720.012553680695,33.999961532030994,0.3597103844111333,0.07047882096226275,0.17308512501831688,0.21818064718336994,0.01388688713857383,0.7004993723313337,0.007008169887147093,0.013169394485826514,0.10228635050680025,0.8977136494931998
dr5rhe,6103478.8031474855,7345.726220843976,1947.2722968672406,1711.888224451851,1219.6374454107743,415.97851579856984,529.5395938066328,5729.36217007982,105.25017550290468,500.7065675277659,212.53322346202268,955.4112639306668,991.8610329365737,57813.0182963575,25.657787719483885,0.23304547065670062,0.16603361039375164,0.05662864409759837,0.07208812006960315,0.7799585769780505,0.014328083070159961,0.06816297701199078,0.02893290834321402,0.49064081354606975,0.5093591864539302
dr5x24,6099983.88794173,578.9465619536547,91.5080302497305,69.31281933491857,43.61911380840374,52.44372198031801,148.07076723755765,58.51374741315149,167.80260167678153,109.62311938747344,61.86896373432705,59.93481911942316,31.573211130307335,80056.09170257123,38.562437303686224,0.11972230925946345,0.07534221061994231,0.09058473687683144,0.25575895422522754,0.10106934086575607,0.28984126118744324,0.18934928815804744,0.10686472258432675,0.6549678640864383,0.3450321359135618
