T_train,T_test,population,population_poverty,population_white,population_black,population_hispanic,population_asian,population_age,population_nohighschool,population_renter,A_prob_trivial,A_prob_GP,T_prob_GP,T_prob_trivial,A_prob_multivariate,A_prob_CIwidth_multivariate,psi_multivariate,T_prob_multivariate,A_prob_homogeneous,A_prob_CIwidth_homogeneous,psi_homogeneous,T_prob_homogeneous
0.0,0.0,3860.0,845.0,817.0,686.0,2016.0,145.0,35.2,688.0,3562.0,0.0,2.6523152167561747e-11,2.6523152167561747e-11,0.0,0.36932869020444203,0.02007196321353115,0.07493625557144805,0.02767610911902823,0.2509022857906697,0.01803031594627012,0.2216771572905156,0.05561930547176818
0.0,0.0,8941.0,693.0,5108.0,1023.0,1420.0,878.0,45.7,488.0,6057.0,0.0,0.004175066807600678,0.004175066807600678,0.0,0.376326707432894,0.02014850770918091,0.1535419115684016,0.05778192203348915,0.32762999598984094,0.019519908856080865,0.2216771572905156,0.07262808615413097
0.0,0.0,7675.0,2692.0,753.0,2001.0,4130.0,472.0,32.6,1505.0,7521.0,0.0,1.3612836722676998e-07,1.3612836722676998e-07,0.0,0.3556159088258327,0.01990878642536673,0.12470983106099898,0.04434879991227321,0.23619836920197834,0.01766487343336126,0.2216771572905156,0.05235978304135023
0.0,0.0,8534.0,679.0,5494.0,483.0,1124.0,906.0,40.8,729.0,5637.0,0.0,0.0008333787282662937,0.0008333787282662937,0.0,0.3456853891397437,0.019779513851336684,0.23329998059669418,0.08064839457886289,0.31573319074989975,0.01933101459631848,0.2216771572905156,0.0699908361877019
0.0,0.0,7820.0,2441.0,679.0,2609.0,3718.0,440.0,37.1,2291.0,7030.0,0.0,1.71163840935831e-05,1.71163840935831e-05,0.0,0.3609810553676458,0.01997472753572391,0.13169976663098784,0.047541120750126654,0.23873813661275228,0.01773004054816083,0.2216771572905156,0.05292279146114969
0.0,0.0,5243.0,371.0,3072.0,464.0,481.0,933.0,41.8,53.0,3214.0,0.0,0.04337055193170517,0.04337055193170517,0.0,0.3738440775113718,0.02012186777705893,0.1488933556228237,0.05566289918038714,0.3311054671835316,0.019572386854505224,0.2216771572905156,0.07339851872859339
0.0,0.0,5127.0,1912.0,347.0,2356.0,1945.0,205.0,35.7,1658.0,4993.0,0.0,0.002797008344879587,0.002797008344879587,0.0,0.3690287751803656,0.020068581888745222,0.11034677951042873,0.040721136887831376,0.24769415853495524,0.017952994233067752,0.2216771572905156,0.05490813694149518
0.0,0.0,5697.0,2132.0,855.0,1074.0,3288.0,268.0,34.2,1580.0,5458.0,0.0,4.0119479353081355e-11,4.0119479353081355e-11,0.0,0.3763766932702401,0.020149038288234014,0.10213487466492499,0.03844118639395489,0.2593236198369202,0.018227079062053404,0.2216771572905156,0.057486122863734834
0.0,0.0,3971.0,1925.0,186.0,1402.0,2064.0,183.0,34.3,1534.0,3929.0,0.0,2.810245349536718e-16,2.810245349536718e-16,0.0,0.39892030591332456,0.020365303756369968,0.08839221536007491,0.03526144959179755,0.28472129394465984,0.018768493511071165,0.2216771572905156,0.06311620706172949
1.0,0.0,8736.0,1966.0,2473.0,1346.0,3458.0,1022.0,37.0,1913.0,7255.0,1.0,0.9999999999,0.9999999999,1.0,1.0,0.0,0.1550187331073502,0.1550187331073502,1.0,0.0,0.2216771572905156,0.2216771572905156
